RESULTS LOOP 2

schedule, num-threads, mean time (s), std
"static", 4, 6.30138, 0.001572
"auto", 4, 5.51724, 0.001885
"static,1", 4, 4.06069, 0.061543
"static,2", 4, 2.89668, 0.063758
"static,4", 4, 2.60198, 0.0188235
"static,8", 4, 2.43993, 0.060662
"static,16", 4, 3.15046, 0.0009705
"static,32", 4, 4.86381, 0.002048
"static,64", 4, 5.51482, 0.0011695
"dynamic,1", 4, 2.95869, 0.290079
"dynamic,2", 4, 2.64233, 0.081645
"dynamic,4", 4, 2.58482, 0.021823
"dynamic,8", 4, 2.24644, 0.004947
"dynamic,16", 4, 2.74404, 0.500172
"dynamic,32", 4, 3.94698, 0.0065965
"dynamic,64", 4, 4.99072, 0.0008875
"guided,1", 4, 5.53353, 0.0004005
"guided,2", 4, 5.51903, 0.002171
"guided,4", 4, 5.52888, 0.0092905
"guided,8", 4, 5.5188, 0.002663
"guided,16", 4, 5.52324, 0.0071135
"guided,32", 4, 5.54476, 0.0285565
"guided,64", 4, 5.52184, 2.24999e-05
"guided,4", 1, 8.77803, 0.000884
"guided,4", 2, 6.30413, 0.0012455
"guided,4", 4, 5.52526, 0.011144
"guided,4", 8, 4.47876, 0.006939
"guided,4", 16, 2.95197, 3.7e-05
