RESULTS LOOP 1
 
schedule, num-threads, mean time (s), std
"static", 4, 0.73024, 0.006737
"auto", 4, 0.450062, 0.0267735
"static,1", 4, 0.441349, 0.0001335
"static,2", 4, 0.54708, 0.0134795
"static,4", 4, 0.427598, 0.0003295
"static,8", 4, 0.531204, 0.0117665
"static,16", 4, 0.523859, 0.021572
"static,32", 4, 0.516398, 0.043356
"static,64", 4, 0.528849, 0.000134
"dynamic,1", 4, 0.526511, 0.050802
"dynamic,2", 4, 0.449146, 0.011422
"dynamic,4", 4, 0.430118, 0.0006685
"dynamic,8", 4, 0.440243, 0.013443
"dynamic,16", 4, 0.493117, 0.045966
"dynamic,32", 4, 0.451048, 0.001988
"dynamic,64", 4, 0.459249, 0.005751
"guided,1", 4, 0.473546, 0.0243565
"guided,2", 4, 0.46588, 0.0174995
"guided,4", 4, 0.469105, 0.0214175
"guided,8", 4, 0.458883, 0.0332645
"guided,16", 4, 0.470247, 0.02194
"guided,32", 4, 0.455587, 0.0289775
"guided,64", 4, 0.430642, 0.0002625
"guided,4", 1, 1.64622, 0.0002695
"guided,4", 2, 0.828819, 0.0004295
"guided,4", 4, 0.468564, 0.0210355
"guided,4", 8, 0.246379, 0.0207695
"guided,4", 16, 0.145208, 0.001344
