RESULTS LOOP 1
 
schedule, num-threads, mean time (s), std
"static", 4, 0.723518, 2.6e-05
"auto", 4, 0.481883, 0.033072
"static,1", 4, 0.501219, 0.0593805
"static,2", 4, 0.428486, 1.15e-05
"static,4", 4, 0.485486, 0.0515435
"static,8", 4, 0.542473, 0.000375
"static,16", 4, 0.639925, 0.092398
"static,32", 4, 0.523235, 0.0341595
"static,64", 4, 0.554834, 0.026021
"dynamic,1", 4, 0.453786, 0.0008285
"dynamic,2", 4, 0.452457, 0.0125975
"dynamic,4", 4, 0.440147, 0.010795
"dynamic,8", 4, 0.437747, 0.0117035
"dynamic,16", 4, 0.448338, 0.0001495
"dynamic,32", 4, 0.434863, 0.013636
"dynamic,64", 4, 0.467479, 0.001655
"guided,1", 4, 0.472145, 0.0227495
"guided,2", 4, 0.471826, 0.0242255
"guided,4", 4, 0.47205, 0.0231655
"guided,8", 4, 0.470607, 0.0222435
"guided,16", 4, 0.47007, 0.021521
"guided,32", 4, 0.534271, 0.083064
"guided,64", 4, 0.429416, 0.001712
"guided,4", 1, 1.64588, 0.0004375
"guided,4", 2, 0.827994, 0.0004705
"guided,4", 4, 0.433354, 0.0145575
"guided,4", 8, 0.282882, 0.014508
"guided,4", 16, 0.136816, 0.000533
