RESULTS LOOP 1
 
schedule, num-threads, mean time (s), std
"static", 4, 0.731159, 0.009319
"auto", 4, 0.44543, 0.0227665
"static,1", 4, 0.551654, 0.0052725
"static,2", 4, 0.488475, 0.057713
"static,4", 4, 0.479795, 0.0525375
"static,8", 4, 0.531326, 0.010979
"static,16", 4, 0.525277, 0.025372
"static,32", 4, 0.481581, 0.008128
"static,64", 4, 0.52949, 0.0004075
"dynamic,1", 4, 0.466261, 0.010719
"dynamic,2", 4, 0.452321, 0.012385
"dynamic,4", 4, 0.441269, 0.010899
"dynamic,8", 4, 0.437057, 0.01196
"dynamic,16", 4, 0.446393, 0.020737
"dynamic,32", 4, 0.420498, 9e-05
"dynamic,64", 4, 0.457985, 0.0059635
"guided,1", 4, 0.459048, 0.0325015
"guided,2", 4, 0.434845, 0.012376
"guided,4", 4, 0.467905, 0.0212605
"guided,8", 4, 0.434229, 0.0144365
"guided,16", 4, 0.44848, 0.000686
"guided,32", 4, 0.461996, 0.035023
"guided,64", 4, 0.448588, 0.0172875
"guided,4", 1, 1.64624, 0.0003525
"guided,4", 2, 0.82872, 0.0011075
"guided,4", 4, 0.471762, 0.022799
"guided,4", 8, 0.24969, 0.0198285
"guided,4", 16, 0.125898, 0.0033515
