RESULTS LOOP 2

schedule, num-threads, mean time (s), std
"static", 4, 6.30196, 0.001815
"auto", 4, 5.51518, 0.0011145
"static,1", 4, 3.98419, 0.137973
"static,2", 4, 2.87285, 0.0095685
"static,4", 4, 2.60268, 0.0364665
"static,8", 4, 2.36958, 0.001957
"static,16", 4, 3.15965, 0.0042545
"static,32", 4, 4.85808, 0.001908
"static,64", 4, 5.52013, 0.000765
"dynamic,1", 4, 2.69957, 0.0793815
"dynamic,2", 4, 2.63951, 0.003489
"dynamic,4", 4, 2.56954, 0.037316
"dynamic,8", 4, 2.24226, 0.0034215
"dynamic,16", 4, 2.2431, 0.005614
"dynamic,32", 4, 3.93776, 6.1e-05
"dynamic,64", 4, 5.00214, 0.0108185
"guided,1", 4, 5.52165, 0.0038615
"guided,2", 4, 5.54708, 0.0284975
"guided,4", 4, 5.52267, 0.001301
"guided,8", 4, 5.52113, 0.0060425
"guided,16", 4, 5.51726, 0.0033755
"guided,32", 4, 5.52011, 0.00486
"guided,64", 4, 5.52225, 0.0016675
"guided,4", 1, 8.8588, 0.078408
"guided,4", 2, 6.3053, 0.001761
"guided,4", 4, 5.52594, 0.0101435
"guided,4", 8, 4.47862, 0.000452
"guided,4", 16, 2.89895, 0.003119
