RESULTS LOOP 2

schedule, num-threads, mean time (s), std
"static", 4, 6.39927, 0.092993
"auto", 4, 5.51372, 0.0035705
"static,1", 4, 4.25185, 0.24066
"static,2", 4, 2.90023, 0.0377495
"static,4", 4, 2.59616, 0.0387625
"static,8", 4, 2.37053, 0.002532
"static,16", 4, 3.24771, 0.001485
"static,32", 4, 4.86891, 0.0099145
"static,64", 4, 5.51398, 0.0014
"dynamic,1", 4, 2.75859, 0.0156095
"dynamic,2", 4, 2.62121, 0.0462085
"dynamic,4", 4, 2.87429, 0.26332
"dynamic,8", 4, 2.23951, 0.0012755
"dynamic,16", 4, 2.2467, 0.002937
"dynamic,32", 4, 3.94706, 0.0067425
"dynamic,64", 4, 4.99108, 0.000621
"guided,1", 4, 5.51911, 0.0032405
"guided,2", 4, 5.52765, 0.008418
"guided,4", 4, 5.52006, 0.001907
"guided,8", 4, 5.51909, 0.0019185
"guided,16", 4, 5.52316, 0.0065345
"guided,32", 4, 5.52568, 0.009352
"guided,64", 4, 5.51668, 0.0035355
"guided,4", 1, 8.78116, 0.0007035
"guided,4", 2, 6.30371, 0.0130405
"guided,4", 4, 5.52201, 0.006473
"guided,4", 6, 4.91024, 0.011115
"guided,4", 8, 4.49539, 0.0116515
"guided,4", 12, 3.98807, 0.0070235
"guided,4", 16, 2.91459, 0.0154575
