RESULTS LOOP 1
 
schedule, num-threads, mean time (s), std
"static", 4, 0.732838, 0.0104225
"auto", 4, 0.433632, 0.014621
"static,1", 4, 0.559699, 0.000276
"static,2", 4, 0.485571, 0.0545525
"static,4", 4, 0.478739, 0.0511065
"static,8", 4, 0.532742, 0.0111465
"static,16", 4, 0.524718, 0.0220945
"static,32", 4, 0.473479, 0.0002085
"static,64", 4, 0.611673, 0.030297
"dynamic,1", 4, 0.467646, 0.0131825
"dynamic,2", 4, 0.462918, 0.002142
"dynamic,4", 4, 0.451924, 0.001281
"dynamic,8", 4, 0.427712, 0.004405
"dynamic,16", 4, 0.439401, 0.008635
"dynamic,32", 4, 0.451605, 0.0004755
"dynamic,64", 4, 0.464827, 0.01234
"guided,1", 4, 0.468443, 0.016967
"guided,2", 4, 0.435869, 0.012896
"guided,4", 4, 0.455598, 0.036539
"guided,8", 4, 0.438813, 0.0180025
"guided,16", 4, 0.464433, 0.0229525
"guided,32", 4, 0.456583, 0.0312895
"guided,64", 4, 0.47576, 0.009652
"guided,4", j, 0.200002, 0.088851
"guided,4", j, 0.313294, 0.0252565
"guided,4", j, 0.243175, 0.126789
"guided,4", j, 0.204639, 0.084929
"guided,4", j, 0.185515, 0.072368
"guided,4", j, 0.216408, 0.113006
"guided,4", j, 0.299388, 0.0105095
