RESULTS LOOP 2

schedule, num-threads, mean time (s), std
"static", 4, 6.30215, 0.001214
"auto", 4, 5.51296, 0.000141
"static,1", 4, 3.90435, 0.116033
"static,2", 4, 2.85736, 0.011375
"static,4", 4, 2.57244, 0.0459385
"static,8", 4, 2.37715, 0.0024415
"static,16", 4, 3.15406, 0.0002555
"static,32", 4, 4.86164, 0.0015805
"static,64", 4, 5.51739, 0.0029875
"dynamic,1", 4, 2.74246, 0.0309275
"dynamic,2", 4, 2.6575, 0.0681685
"dynamic,4", 4, 2.59355, 0.0788715
"dynamic,8", 4, 2.23731, 0.0002715
"dynamic,16", 4, 2.2433, 0.008664
"dynamic,32", 4, 3.95587, 0.015713
"dynamic,64", 4, 4.99, 0.0015225
"guided,1", 4, 5.51976, 0.0008905
"guided,2", 4, 5.52029, 0.004987
"guided,4", 4, 5.51675, 0.002824
"guided,8", 4, 5.52063, 0.0043635
"guided,16", 4, 5.51834, 0.004833
"guided,32", 4, 5.524, 0.009521
"guided,64", 4, 5.51856, 0.0040785
"guided,4", j, 1.28665, 0.000203
"guided,4", j, 1.29242, 0.0133745
"guided,4", j, 1.34564, 0.006512
"guided,4", j, 1.26942, 0.0192525
"guided,4", j, 1.2263, 0.0059455
"guided,4", j, 1.29263, 0.0160315
"guided,4", j, 1.28842, 0.009367
