RESULTS LOOP 1
 
schedule, num-threads, mean time (s), std
"static", 4, 0.715119, 0.0977002
"auto", 4, 0.433871, 0.014872
"static,1", 4, 0.504102, 0.042773
"static,2", 4, 0.536334, 0.0031605
"static,4", 4, 0.53699, 0.0094485
"static,8", 4, 0.486945, 0.05483
"static,16", 4, 0.495671, 0.0512005
"static,32", 4, 0.481977, 0.008414
"static,64", 4, 0.530901, 0.002369
"dynamic,1", 4, 0.466427, 0.0095095
"dynamic,2", 4, 0.450538, 0.0121885
"dynamic,4", 4, 0.452421, 0.000782
"dynamic,8", 4, 0.450071, 0.0003635
"dynamic,16", 4, 0.422819, 3.1e-05
"dynamic,32", 4, 0.461842, 0.0104255
"dynamic,64", 4, 0.46812, 0.001295
"guided,1", 4, 0.881376, 0.458646
"guided,2", 4, 0.422026, 0.0001825
"guided,4", 4, 0.455688, 0.03359
"guided,8", 4, 0.448024, 0.000668
"guided,16", 4, 0.464887, 0.016741
"guided,32", 4, 0.457325, 0.0309485
"guided,64", 4, 0.45933, 0.029881
"guided,4", 1, 1.65107, 0.0056605
"guided,4", 2, 0.832551, 0.0038755
"guided,4", 4, 0.433061, 0.0141015
"guided,4", 6, 0.33506, 0.0123895
"guided,4", 8, 0.2446, 0.0198005
"guided,4", 12, 0.180164, 0.015427
"guided,4", 16, 0.154166, 0.0133555
