RESULTS LOOP 2

schedule, num-threads, mean time (s), std
"static", 4, 5.89058, 0.893823
"auto", 4, 5.51592, 0.0035945
"static,1", 4, 4.01499, 0.170435
"static,2", 4, 2.90792, 0.079667
"static,4", 4, 2.55446, 0.0193445
"static,8", 4, 2.36812, 0.0001635
"static,16", 4, 3.15518, 0.0027575
"static,32", 4, 4.85757, 0.002506
"static,64", 4, 5.51475, 0.002253
"dynamic,1", 4, 2.66321, 0.0449805
"dynamic,2", 4, 2.64878, 0.003296
"dynamic,4", 4, 2.54776, 0.064832
"dynamic,8", 4, 2.24902, 0.000901
"dynamic,16", 4, 2.23846, 0.000154
"dynamic,32", 4, 3.94317, 0.00511
"dynamic,64", 4, 4.99274, 0.0046025
"guided,1", 4, 6.01451, 0.494719
"guided,2", 4, 5.52576, 0.003744
"guided,4", 4, 5.52123, 0.000487
"guided,8", 4, 5.52161, 0.0063195
"guided,16", 4, 5.51549, 0.0001455
"guided,32", 4, 5.52269, 0.002353
"guided,64", 4, 5.52053, 0.0031555
"guided,4", 1, 8.78158, 0.0013325
"guided,4", 2, 6.30546, 0.001231
"guided,4", 4, 5.51376, 0.0008715
"guided,4", 6, 4.88721, 0.0186045
"guided,4", 8, 4.49622, 0.0170395
"guided,4", 12, 4.00273, 0.008464
"guided,4", 16, 2.91564, 0.004522
