RESULTS LOOP 1
 
schedule, num-threads, mean time (s), std
"static", 4, 0.725672, 0.00581966
"auto", 4, 0.42763, 0.00963874
"static,1", 4, 0.465379, 0.0307473
"static,2", 4, 0.443932, 0.0234549
"static,4", 4, 0.448314, 0.0243681
"static,8", 4, 0.446915, 0.0182191
"static,16", 4, 0.463965, 0.0259664
"static,32", 4, 0.481696, 0.0189318
"static,64", 4, 0.542318, 0.0134287
"dynamic,1", 4, 0.456817, 0.00424313
"dynamic,2", 4, 0.445407, 0.0120167
"dynamic,4", 4, 0.434622, 0.00411719
"dynamic,8", 4, 0.432102, 0.00970879
"dynamic,16", 4, 0.430911, 0.00855234
"dynamic,32", 4, 0.43207, 0.0117241
"dynamic,64", 4, 0.460423, 0.00901884
"guided,1", 4, 0.437807, 0.0118103
"guided,2", 4, 0.428946, 0.0138458
"guided,4", 4, 0.428267, 0.0100073
"guided,8", 4, 0.431572, 0.014406
"guided,16", 4, 0.427778, 0.0105133
"guided,32", 4, 0.431524, 0.00851409
"guided,64", 4, 0.436292, 0.0102447
"guided,4", 1, 1.64532, 0.000657617
"guided,4", 2, 0.827449, 0.000504407
"guided,4", 4, 0.431928, 0.011944
"guided,4", 8, 0.237793, 0.0153804
"guided,4", 16, 0.135219, 0.0110736
