RESULTS LOOP 1
 
schedule, num-threads, mean time (s), std
"static", 4, 0.728233, 0.00680899
"auto", 4, 0.436384, 0.0113637
"static,1", 4, 0.464197, 0.0219141
"static,2", 4, 0.443684, 0.0195564
"static,4", 4, 0.443953, 0.0200159
"static,8", 4, 0.451838, 0.0195476
"static,16", 4, 0.458966, 0.0252775
"dynamic,1", 4, 0.462523, 0.0130014
"dynamic,2", 4, 0.439444, 0.00409767
"dynamic,4", 4, 0.436132, 0.0107082
"dynamic,8", 4, 0.439227, 0.0119864
"dynamic,16", 4, 0.434793, 0.0144283
"guided,1", 4, 0.433958, 0.0142369
"guided,2", 4, 0.427442, 0.0109935
"guided,4", 4, 0.432325, 0.0145626
"guided,8", 4, 0.431187, 0.0144231
"guided,16", 4, 0.4291, 0.00977051
"guided,4", 1, 1.64532, 0.00066953
"guided,4", 2, 0.827604, 0.000181561
"guided,4", 4, 0.428671, 0.010524
"guided,4", 8, 0.233915, 0.015114
"guided,4", 16, 0.134884, 0.0129816
"guided,4", 32, 0.0919073, 0.00941941
"guided,4", 64, 0.178479, 0.0781469
