RESULTS LOOP 1
 
schedule, num-threads, mean time (s), std
"static", 4, 0.731373, 0.008935
"auto", 4, 0.48836, 0.013689
"static,1", 4, 0.496368, 0.055636
"static,2", 4, 0.473649, 0.0448845
"static,4", 4, 0.429037, 0.000233
"static,8", 4, 0.432901, 0.0002105
"static,16", 4, 0.444668, 7.1e-05
"static,32", 4, 0.517764, 0.0451505
"static,64", 4, 0.558512, 0.0258715
"dynamic,1", 4, 0.465333, 0.011655
"dynamic,2", 4, 0.450225, 0.014004
"dynamic,4", 4, 0.440728, 0.010216
"dynamic,8", 4, 0.437184, 0.0119945
"dynamic,16", 4, 0.448572, 0.0002935
"dynamic,32", 4, 0.436716, 0.0157075
"dynamic,64", 4, 0.45928, 0.00614
"guided,1", 4, 0.436154, 0.0126135
"guided,2", 4, 0.435485, 0.013933
"guided,4", 4, 0.456673, 0.0338665
"guided,8", 4, 0.453788, 0.031172
"guided,16", 4, 0.456354, 0.0345625
"guided,32", 4, 0.472413, 0.0179925
"guided,64", 4, 0.475531, 0.006409
"guided,4", 1, 1.646, 0.0001845
"guided,4", 2, 0.828402, 0.0005765
"guided,4", 4, 0.419905, 0.0015755
"guided,4", 8, 0.271655, 0.0186545
"guided,4", 16, 0.145486, 0.007434
