RESULTS LOOP 2

schedule, num-threads, mean time (s), std
"static", 4, 6.34234, 0.00110562
"auto", 4, 5.52914, 0.00377263
"static,1", 4, 4.11491, 0.025517
"static,2", 4, 3.00161, 0.0425998
"static,4", 4, 2.72462, 0.0597576
"static,8", 4, 2.38761, 0.00892399
"static,16", 4, 3.17786, 0.0115785
"dynamic,1", 4, 2.74313, 0.00191131
"dynamic,2", 4, 2.68511, 0.0224111
"dynamic,4", 4, 2.61853, 0.0164006
"dynamic,8", 4, 2.24243, 0.00843002
"dynamic,16", 4, 2.23468, 0.000967773
"guided,1", 4, 5.51986, 0.00508858
"guided,2", 4, 5.52951, 0.00741444
"guided,4", 4, 5.52078, 0.0050344
"guided,8", 4, 5.52292, 0.00519803
