RESULTS LOOP 2

schedule, num-threads, mean time (s), std
"static", 4, 6.32516, 0.00362646
"auto", 4, 5.53096, 0.00990567
"static,1", 4, 3.96287, 0.0782476
"static,2", 4, 2.92174, 0.0393295
"static,4", 4, 2.63168, 0.083514
"static,8", 4, 2.51656, 0.26149
"static,16", 4, 3.16681, 0.00490075
"static,32", 4, 4.87421, 0.00377907
"static,64", 4, 5.53019, 0.00249865
"dynamic,1", 4, 2.70983, 0.0769298
"dynamic,2", 4, 2.6563, 0.0261196
"dynamic,4", 4, 2.55815, 0.0522055
"dynamic,8", 4, 2.2449, 0.00397419
"dynamic,16", 4, 2.23994, 0.00241878
"dynamic,32", 4, 3.94648, 0.00540241
"dynamic,64", 4, 5.19854, 0.393424
"guided,1", 4, 5.52486, 0.00166933
"guided,2", 4, 5.52993, 0.00470553
"guided,4", 4, 5.52546, 0.00146108
"guided,8", 4, 5.52426, 0.00546739
"guided,16", 4, 5.52465, 0.00163899
"guided,32", 4, 5.52678, 0.00464983
"guided,64", 4, 5.53047, 0.00447219
"guided,4", 1, 8.80668, 0.000512179
"guided,4", 2, 6.32315, 0.00115534
"guided,4", 4, 5.52666, 0.00291076
"guided,4", 8, 4.48197, 0.0118695
"guided,4", 16, 2.92807, 0.0195047
