RESULTS LOOP 1
 
schedule, num-threads, mean time (s), std
"static", 4, 0.728418, 0.0101887
"auto", 4, 0.433868, 0.00880355
"static,1", 4, 0.466475, 0.0221287
"static,2", 4, 0.452384, 0.0196773
"static,4", 4, 0.455679, 0.0390851
"static,8", 4, 0.465928, 0.0393127
"static,16", 4, 0.477562, 0.0359915
"dynamic,1", 4, 0.458151, 0.00469821
"dynamic,2", 4, 0.441873, 0.00524869
"dynamic,4", 4, 0.435655, 0.00901028
"dynamic,8", 4, 0.448992, 0.0288591
"dynamic,16", 4, 0.433987, 0.0185365
"guided,1", 4, 0.427906, 0.0123398
"guided,2", 4, 0.44301, 0.0231459
"guided,4", 4, 0.434757, 0.0273333
"guided,8", 4, 0.424919, 0.00827337
