RESULTS LOOP 2

schedule, num-threads, mean time (s), std
"static", 4, 6.32477, 0.001196
"auto", 4, 5.5492, 0.005579
"static,1", 4, 3.91695, 0.063421
"static,2", 4, 2.95524, 0.0190295
"static,4", 4, 2.62979, 0.089115
"static,8", 4, 2.37682, 0.001601
"static,16", 4, 3.15884, 0.000582
"static,32", 4, 4.87145, 0.0019225
"static,64", 4, 5.52564, 0.001041
"dynamic,1", 4, 2.68807, 0.0738905
"dynamic,2", 4, 2.64024, 0.061091
"dynamic,4", 4, 2.5429, 0.036726
"dynamic,8", 4, 2.26298, 0.025269
"dynamic,16", 4, 2.24889, 0.001398
"dynamic,32", 4, 3.9418, 0.00124
"dynamic,64", 4, 4.9946, 0.0046625
"guided,1", 4, 5.52667, 0.0055945
"guided,2", 4, 5.52603, 0.000875
"guided,4", 4, 5.53376, 0.0075075
"guided,8", 4, 5.52734, 0.0065285
"guided,16", 4, 5.52715, 0.0050205
"guided,32", 4, 5.56449, 0.0129815
"guided,64", 4, 5.52933, 0.0077505
"guided,4", 1, 8.79972, 0.0006195
"guided,4", 2, 6.31869, 0.0013115
"guided,4", 4, 5.52649, 0.0022905
"guided,4", 8, 4.49218, 0.013391
"guided,4", 16, 2.94132, 0.0148275
