RESULTS LOOP 2

schedule, num-threads, mean time (s), std
"static", 4, 6.34289, 0.00146371
"auto", 4, 5.52436, 0.00982965
"static,1", 4, 4.08364, 0.0991393
"static,2", 4, 3.00435, 0.0429808
"static,4", 4, 2.72086, 0.0441701
"static,8", 4, 2.39815, 0.0168693
"static,16", 4, 3.17403, 0.00119248
"static,32", 4, 4.88946, 0.00112432
"static,64", 4, 5.54829, 0.00107591
"dynamic,1", 4, 2.74222, 0.00527692
"dynamic,2", 4, 2.69514, 0.0125565
"dynamic,4", 4, 2.6104, 0.0263523
"dynamic,8", 4, 2.23683, 0.00340513
"dynamic,16", 4, 2.24377, 0.0182176
"dynamic,32", 4, 3.94411, 0.00678316
"dynamic,64", 4, 4.99882, 0.0069318
"guided,1", 4, 5.52161, 0.00612663
"guided,2", 4, 5.52769, 0.00296892
"guided,4", 4, 5.5225, 0.00444778
"guided,8", 4, 5.51961, 0.00585676
"guided,16", 4, 5.5243, 0.00625807
"guided,32", 4, 5.52469, 0.00944351
"guided,64", 4, 5.51532, 0.00402848
"guided,4", 1, 8.84324, 0.00193019
"guided,4", 2, 6.34153, 0.00620718
"guided,4", 4, 5.54303, 0.0527819
"guided,4", 8, 4.47473, 0.0044062
"guided,4", 16, 2.89842, 0.00448071
