RESULTS LOOP 1
 
schedule, num-threads, mean time (s), std
"static", 4, 0.730748, 0.0127999
"auto", 4, 0.434206, 0.0124957
"static,1", 4, 0.471334, 0.0186877
"static,2", 4, 0.443606, 0.0182692
"static,4", 4, 0.441535, 0.0174071
"static,8", 4, 0.472561, 0.0280445
"static,16", 4, 0.462524, 0.0243768
"static,32", 4, 0.476725, 0.00994577
"static,64", 4, 0.53218, 0.00806274
"dynamic,1", 4, 0.454303, 0.00207436
"dynamic,2", 4, 0.449195, 0.0129945
"dynamic,4", 4, 0.436852, 0.00863386
"dynamic,8", 4, 0.433764, 0.00867088
"dynamic,16", 4, 0.426879, 0.00505173
"dynamic,32", 4, 0.426312, 0.00447133
"dynamic,64", 4, 0.461024, 0.0093775
"guided,1", 4, 0.432782, 0.0127286
"guided,2", 4, 0.432177, 0.0131698
"guided,4", 4, 0.429079, 0.0127212
"guided,8", 4, 0.43033, 0.0106627
"guided,16", 4, 0.429252, 0.0138196
"guided,32", 4, 0.439549, 0.0100508
"guided,64", 4, 0.430241, 0.00783311
"guided,4", 1, 1.64518, 0.000467784
"guided,4", 2, 0.82804, 0.00120745
"guided,4", 4, 0.43681, 0.0111518
"guided,4", 8, 0.243018, 0.0106658
"guided,4", 16, 0.136107, 0.0137529
