RESULTS LOOP 1
 
schedule, num-threads, mean time (s), std
"static", 4, 0.728367, 0.00676201
"auto", 4, 0.442007, 0.0168681
"static,1", 4, 0.487199, 0.0515024
"static,2", 4, 0.472866, 0.0542693
"static,4", 4, 0.497804, 0.0564053
"static,8", 4, 0.534977, 0.0636545
"static,16", 4, 0.528888, 0.0223715
"static,32", 4, 0.508914, 0.0374899
"static,64", 4, 0.538795, 0.0180303
"dynamic,1", 4, 0.470111, 0.0140402
"dynamic,2", 4, 0.448173, 0.0114825
"dynamic,4", 4, 0.452686, 0.000946105
"dynamic,8", 4, 0.444519, 0.0100353
"dynamic,16", 4, 0.428713, 0.00957386
"dynamic,32", 4, 0.43372, 0.014075
"dynamic,64", 4, 0.48709, 0.0449553
"guided,1", 4, 0.450971, 0.020022
"guided,2", 4, 0.466392, 0.0211864
"guided,4", 4, 0.426948, 0.0104497
"guided,8", 4, 0.440796, 0.0296935
"guided,16", 4, 0.429041, 0.0111034
"guided,32", 4, 0.44531, 0.0281963
"guided,64", 4, 0.480408, 0.0112927
"guided,4", 1, 1.64626, 0.000432137
"guided,4", 2, 0.830661, 0.00368506
"guided,4", 4, 0.44016, 0.0271986
"guided,4", 8, 0.240435, 0.0186198
"guided,4", 16, 0.145352, 0.00772005
