RESULTS LOOP 2

schedule, num-threads, mean time (s), std
"static", 4, 6.29351, 0.00104718
"auto", 4, 5.50835, 0.00118144
"static,1", 4, 3.94376, 0.117817
"static,2", 4, 2.97418, 0.0354889
"static,4", 4, 2.58943, 0.0266719
"static,8", 4, 2.36649, 0.00104939
"static,16", 4, 3.15231, 0.0101955
"dynamic,1", 4, 2.71249, 0.0402475
"dynamic,2", 4, 2.71137, 0.0436847
"dynamic,4", 4, 2.57166, 0.0414503
"dynamic,8", 4, 2.23708, 0.000391596
"dynamic,16", 4, 2.23765, 0.00515763
"guided,1", 4, 5.51038, 0.00119774
"guided,2", 4, 5.50842, 0.00167406
"guided,4", 4, 5.50967, 0.00115952
"guided,8", 4, 5.50953, 0.0010188
"guided,16", 4, 5.5071, 0.00220208
"guided,4", 1, 8.77573, 0.00090092
"guided,4", 2, 6.29379, 0.00215104
"guided,4", 4, 5.50748, 0.000940702
"guided,4", 8, 4.47094, 0.0137616
"guided,4", 16, 2.89601, 0.00364401
"guided,4", 32, 1.54382, 0.0841015
"guided,4", 64, 1.29604, 0.0208431
