RESULTS LOOP 1
 
schedule, num-threads, mean time (s), std
"static", 4, 0.73014, 0.007229
"auto", 4, 0.420129, 0.0008205
"static,1", 4, 0.494067, 0.053839
"static,2", 4, 0.573394, 0.0328175
"static,4", 4, 0.575989, 0.039054
"static,8", 4, 0.549011, 0.0173575
"static,16", 4, 0.542836, 0.0968005
"dynamic,1", 4, 0.478117, 0.003589
"dynamic,2", 4, 0.461441, 0.0019785
"dynamic,4", 4, 0.451795, 0.001044
"dynamic,8", 4, 0.453948, 0.027769
"dynamic,16", 4, 0.461262, 0.01401
"guided,1", 4, 0.470573, 0.022029
"guided,2", 4, 0.497636, 0.077787
"guided,4", 4, 0.454114, 0.0321135
"guided,8", 4, 0.467589, 0.0204905
"guided,16", 4, 0.436124, 0.014357
"guided,4", 1, 1.64938, 0.0027815
"guided,4", 2, 0.915777, 0.0208715
"guided,4", 4, 0.421223, 0.000511
"guided,4", 8, 0.247993, 0.0111235
"guided,4", 16, 0.136915, 0.0176555
"guided,4", 32, 0.0893965, 0.0021835
"guided,4", 64, 0.131026, 0.0186685
