RESULTS LOOP 2

schedule, num-threads, mean time (s), std
"static", 4, 6.34274, 0.00215029
"auto", 4, 5.52496, 0.0078045
"static,1", 4, 4.11033, 0.0773566
"static,2", 4, 3.00323, 0.0455159
"static,4", 4, 2.70604, 0.0246431
"static,8", 4, 2.38898, 0.0124678
"static,16", 4, 3.17271, 0.000693596
"static,32", 4, 4.91502, 0.0893072
"static,64", 4, 5.56927, 0.0886133
"dynamic,1", 4, 2.77866, 0.0214908
"dynamic,2", 4, 2.70703, 0.0280128
"dynamic,4", 4, 2.61901, 0.0208468
"dynamic,8", 4, 2.23958, 0.00395129
"dynamic,16", 4, 2.23865, 0.00798727
"dynamic,32", 4, 3.9452, 0.00577412
"dynamic,64", 4, 4.99767, 0.00650914
"guided,1", 4, 5.52641, 0.0065232
"guided,2", 4, 5.52395, 0.00577694
"guided,4", 4, 5.52091, 0.00662027
"guided,8", 4, 5.52058, 0.00691257
"guided,16", 4, 5.52303, 0.00603694
"guided,32", 4, 5.52349, 0.00755276
"guided,64", 4, 5.52224, 0.00741083
"guided,4", 1, 8.84281, 0.000916285
"guided,4", 2, 6.36386, 0.101111
"guided,4", 4, 5.52069, 0.00460452
"guided,4", 8, 4.47476, 0.00279497
"guided,4", 16, 2.89933, 0.00342339
