RESULTS LOOP 2

schedule, num-threads, mean time (s), std
"static", 4, 6.30325, 0.0004595
"auto", 4, 5.51282, 0.000544
"static,1", 4, 4.03837, 0.042387
"static,2", 4, 2.85328, 0.0157085
"static,4", 4, 2.67452, 0.00078
"static,8", 4, 2.39652, 0.022188
"static,16", 4, 3.1524, 0.000445
"dynamic,1", 4, 2.70925, 0.032516
"dynamic,2", 4, 2.62296, 0.0576785
"dynamic,4", 4, 2.60955, 0.038277
"dynamic,8", 4, 2.23798, 0.0018225
"dynamic,16", 4, 2.25322, 0.006718
"guided,1", 4, 5.51849, 0.001835
"guided,2", 4, 5.51797, 0.0032775
"guided,4", 4, 5.52087, 0.001855
"guided,8", 4, 5.52038, 0.001496
"guided,16", 4, 5.51771, 0.003612
"guided,4", 1, 8.78072, 0.000434
"guided,4", 2, 6.30586, 0.0019325
"guided,4", 4, 5.51956, 0.000217
"guided,4", 8, 4.47622, 0.0037635
"guided,4", 16, 2.90412, 0.007123
"guided,4", 32, 1.56663, 0.023592
"guided,4", 64, 1.31303, 0.0229625
