RESULTS LOOP 1
 
schedule, num-threads, mean time (s), std
"static", 4, 0.730366, 0.0063305
"auto", 4, 0.466629, 0.017667
"static,1", 4, 0.493424, 0.0527325
"static,2", 4, 0.539789, 0.0021755
"static,4", 4, 0.428126, 4.55e-05
"static,8", 4, 0.533813, 0.0098875
"static,16", 4, 0.445617, 0.000895
"static,32", 4, 0.48076, 0.008002
"static,64", 4, 0.656451, 0.0727675
"dynamic,1", 4, 0.485283, 0.0286795
"dynamic,2", 4, 0.437839, 0.0004085
"dynamic,4", 4, 0.429841, 4.85e-05
"dynamic,8", 4, 0.454573, 0.004887
"dynamic,16", 4, 0.44771, 0.001404
"dynamic,32", 4, 0.422598, 2.15e-05
"dynamic,64", 4, 0.452369, 0.0001485
"guided,1", 4, 0.451005, 0.0306205
"guided,2", 4, 0.421315, 0.000381
"guided,4", 4, 0.455663, 0.0337465
"guided,8", 4, 0.469457, 0.019714
"guided,16", 4, 0.435533, 0.014056
"guided,32", 4, 0.47523, 0.022102
"guided,64", 4, 0.485117, 0.0192975
"dynamic,8", 1, 1.646, 8e-05
"dynamic,8", 2, 0.843041, 4.05e-05
"dynamic,8", 4, 0.437472, 0.012578
"dynamic,8", 6, 0.324423, 0.0141635
"dynamic,8", 8, 0.227298, 0.005144
"dynamic,8", 12, 0.156857, 0.0044645
"dynamic,8", 16, 0.13141, 0.0111645
"dynamic,16", 1, 1.64619, 4.6e-05
"dynamic,16", 2, 0.836358, 0.001118
"dynamic,16", 4, 0.435223, 0.012649
"dynamic,16", 6, 0.318859, 0.020846
"dynamic,16", 8, 0.24134, 0.010168
"dynamic,16", 12, 0.181579, 0.01044
"dynamic,16", 16, 0.138742, 0.0034095
