RESULTS LOOP 2

schedule, num-threads, mean time (s), std
"static", 4, 6.3057, 0.001327
"auto", 4, 5.52574, 0.006207
"static,1", 4, 4.05726, 0.063157
"static,2", 4, 2.88924, 0.0484865
"static,4", 4, 2.51963, 0.002535
"static,8", 4, 2.40467, 0.0253465
"static,16", 4, 3.1528, 0.0015945
"static,32", 4, 4.86262, 0.0011685
"static,64", 4, 5.51531, 0.0020165
"dynamic,1", 4, 2.7809, 0.0183655
"dynamic,2", 4, 2.66936, 0.0163095
"dynamic,4", 4, 2.61175, 0.0410555
"dynamic,8", 4, 2.24746, 0.0012695
"dynamic,16", 4, 2.24499, 0.0046195
"dynamic,32", 4, 3.9402, 0.0003
"dynamic,64", 4, 4.99071, 0.0023285
"guided,1", 4, 5.52739, 0.007716
"guided,2", 4, 5.52998, 0.007992
"guided,4", 4, 5.52963, 0.0126005
"guided,8", 4, 5.57904, 0.0392125
"guided,16", 4, 5.51773, 0.001986
"guided,32", 4, 5.52152, 0.000837
"guided,64", 4, 5.52029, 0.005184
"dynamic,8", 1, 8.7796, 5.6e-05
"dynamic,8", 2, 4.47274, 5.0004e-06
"dynamic,8", 4, 2.24266, 0.0045395
"dynamic,8", 6, 1.59853, 0.006792
"dynamic,8", 8, 1.20297, 0.0074865
"dynamic,8", 12, 1.09069, 0.014469
"dynamic,8", 16, 1.10606, 0.008203
"dynamic,16", 1, 8.78025, 0.000187
"dynamic,16", 2, 4.46483, 0.00099
"dynamic,16", 4, 2.24984, 0.013536
"dynamic,16", 6, 2.14659, 0.023386
"dynamic,16", 8, 2.20088, 0.0946155
"dynamic,16", 12, 2.19713, 0.0032705
"dynamic,16", 16, 2.11118, 0.0051215
