RESULTS LOOP 2

schedule, num-threads, mean time (s), std
"static", 4, 6.30516, 0.0062345
"auto", 4, 5.51906, 0.003062
"static,1", 4, 3.9193, 0.064532
"static,2", 4, 2.9774, 0.0089765
"static,4", 4, 2.66587, 0.049855
"static,8", 4, 2.36867, 0.0019485
"static,16", 4, 3.2062, 0.055221
"static,32", 4, 4.88904, 0.0291175
"static,64", 4, 5.51283, 0.001319
"dynamic,1", 4, 2.69669, 0.022971
"dynamic,2", 4, 2.70202, 0.0148315
"dynamic,4", 4, 2.57956, 0.001885
"dynamic,8", 4, 2.24237, 0.004586
"dynamic,16", 4, 2.23722, 0.00083
"dynamic,32", 4, 3.94461, 0.0036985
"dynamic,64", 4, 4.98796, 0.000165
"guided,1", 4, 5.5169, 0.002083
"guided,2", 4, 5.52079, 0.006116
"guided,4", 4, 5.5176, 0.004748
"guided,8", 4, 5.52537, 0.003917
"guided,16", 4, 5.5169, 0.003404
"guided,32", 4, 5.51834, 0.0005025
"guided,64", 4, 5.51749, 0.001265
"guided,4", 1, 8.78021, 0.000923
"guided,4", 2, 6.31625, 0.019374
"guided,4", 4, 5.51867, 0.0031125
"guided,4", 8, 4.50264, 0.0162785
"guided,4", 16, 2.9256, 0.001233
