RESULTS LOOP 1
 
schedule, num-threads, mean time (s), std
"static", 4, 0.729988, 0.0056845
"auto", 4, 0.420771, 0.0012755
"static,1", 4, 0.495306, 0.0546675
"static,2", 4, 0.427961, 9.95e-05
"static,4", 4, 0.428333, 0.0007765
"static,8", 4, 0.432677, 0.0002485
"static,16", 4, 0.52743, 0.0246255
"static,32", 4, 0.517492, 0.043363
"static,64", 4, 0.555907, 0.023017
"dynamic,1", 4, 0.4663, 0.012121
"dynamic,2", 4, 0.439488, 3.05e-05
"dynamic,4", 4, 0.430183, 0.0005895
"dynamic,8", 4, 0.437571, 0.0129
"dynamic,16", 4, 0.423347, 0.000698
"dynamic,32", 4, 0.451589, 0.0019945
"dynamic,64", 4, 0.452082, 2.65e-05
"guided,1", 4, 0.436242, 0.0132925
"guided,2", 4, 0.4941, 0.0067105
"guided,4", 4, 0.489622, 0.003362
"guided,8", 4, 0.49032, 0.002597
"guided,16", 4, 0.468496, 0.023438
"guided,32", 4, 0.424141, 7.25e-05
"guided,64", 4, 0.466997, 0.0225275
"guided,4", 1, 1.64617, 0.000236
"guided,4", 2, 0.827489, 0.0001835
"guided,4", 4, 0.434615, 0.01423
"guided,4", 8, 0.251428, 0.006209
"guided,4", 16, 0.143942, 0.003247
